condition,calibration,object,n,n_pos,n_neg,threshold_at_spec95,sensitivity_at_that_point,specificity_achieved,lr_plus,lr_plus_lo,lr_plus_hi,n_boot_evaluable,lr_minus_at_spec95,lr_minus_at_sens95,threshold_at_sens95,acmg_tier,benign_tier_at_sens95,cal_method
y_clinvar/BRCA1_excluded,raw,single:spliceai,734,406,328,0.5198204074103354,0.9704433497536946,0.9512195121951219,19.89408866995074,18.955450236966826,23.028765277660963,2000,0.03107237589996207,0.05081017442761104,0.548650090916278,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:spliceai,734,406,328,0.613693352273513,0.9359605911330049,0.9512195121951219,19.1871921182266,18.65438212599332,391.639175257732,2000,0.06732348111658461,0.036484983314794175,0.4,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,raw,single:pangolin,734,406,328,0.48608567358567356,0.9950738916256158,0.9512195121951219,20.39901477832512,19.84643485319984,24.270779777206513,2000,0.0051787293166603455,0.049869245271544176,0.5450463804780352,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:pangolin,734,406,328,0.6153846153846154,0.958128078817734,0.9512195121951219,19.641625615763544,18.868347338935575,65.70918367346914,2000,0.04401919919161299,0.04373882212669826,0.75,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,raw,single:alphagenome,734,406,328,0.5018018552191214,0.9532019704433498,0.9512195121951219,19.54064039408867,19.09332655826558,23.42463317029791,2000,0.049197928508273335,0.05162183855584764,0.5054055656573642,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:alphagenome,734,406,328,0.7442398610161693,0.9064039408866995,0.9573170731707317,21.235749472202674,18.10752688172043,25.12379110251451,2000,0.09776913181261962,0.03708309779536457,0.5,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,raw,single:gpn_msa,734,406,328,0.5450463804780351,0.9064039408866995,0.9512195121951219,18.581280788177338,17.863920750782064,21.951136363636362,2000,0.09839585701654667,0.058330813963827846,0.45742216117216117,Moderate,Moderate,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:gpn_msa,734,406,328,0.6666666666666666,0.8842364532019704,0.9573170731707317,20.71639690358902,17.639331981155582,45.86400299228223,2000,0.12092497882087166,0.06295182649862445,0.17857142857142858,Strong,Moderate,isotonic
y_clinvar/BRCA1_excluded,raw,single:nt,734,406,328,0.6888372870515728,0.6354679802955665,0.9512195121951219,13.027093596059112,11.286405051150895,16.918330308529946,2000,0.383225969432866,0.13464696223316927,0.19587257980115122,Moderate,Moderate,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:nt,734,406,328,0.7857142857142857,0.6206896551724138,0.9542682926829268,13.572413793103449,10.834256055363323,22.12435116755673,2000,0.3974881568800264,0.20481509748144014,0.13157894736842105,Moderate,Moderate,isotonic
y_clinvar/BRCA1_excluded,raw,single:cadd,676,374,302,0.46988645296601456,0.9786096256684492,0.9503311258278145,19.702673796791444,19.584295612009235,23.662280701754387,2000,0.022508338146788622,0.04844919786096254,0.5556941015824031,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:cadd,676,374,302,0.4355008417508425,0.9705882352941176,0.9503311258278145,19.541176470588237,19.353348729792145,57.90663442747837,2000,0.030948964951834402,0.04783021856192584,0.5555555555555556,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,raw,single:alphamissense,0,0,0,,,,,,,0,,,,not evaluable,not evaluable,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:alphamissense,0,0,0,,,,,,,0,,,,not evaluable,not evaluable,isotonic
y_clinvar/BRCA1_excluded,raw,single:gnomad_af,234,100,134,0.9594330400782014,0.09,0.9552238805970149,2.0100000000000002,0.8263157894736842,10.001712328767123,1896,0.9526562500000001,0.3941176470588238,0.10476978218913695,below supporting,Supporting,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:gnomad_af,234,100,134,0.75,0.03,0.9626865671641791,0.804,0.456,3.375,1621,1.007596899224806,0.26800000000000024,0.2608695652173913,below supporting,Supporting,isotonic
y_clinvar/BRCA1_excluded,raw,single:phylop,734,406,328,0.5553213716254605,0.9285714285714286,0.9512195121951219,19.035714285714285,18.40408460977389,24.295384615384616,2000,0.07509157509157506,0.05552452050852341,0.4903753313848066,Strong,Moderate,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:phylop,734,406,328,0.5473720186509771,0.9285714285714286,0.9664634146341463,27.68831168831169,18.447089947089946,38.807623271037826,2000,0.0739071653898152,0.054260716123814355,0.1875,Strong,Moderate,isotonic
y_clinvar/BRCA1_excluded,raw,single:phastcons,734,406,328,0.9102203611474361,0.7783251231527094,0.9603658536585366,19.637741568776054,13.110916008194323,95.42105263157896,1996,0.23082336382828988,0.04700403045230626,0.5158703152388637,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:phastcons,734,406,328,0.9332376814362109,0.7783251231527094,0.9603658536585366,19.637741568776054,13.59530039050016,95.42105263157896,1999,0.23082336382828988,0.04678851969492365,0.14705882352941177,Strong,Strong,isotonic
y_assay/BRCA1_included,raw,fusion_M1,1675,821,854,0.5765367637769585,0.8891595615103532,0.9508196721311475,18.079577750710516,16.868720144951407,19.395685912933818,2000,0.1165735646184216,0.05709235643344799,0.4906696941541281,Moderate,Moderate,platt
y_assay/BRCA1_included,calibrated_platt,fusion_M1,1675,821,854,0.6509099138321663,0.8830694275274056,0.9508196721311475,17.95574502639058,16.514657980456025,19.358770541807278,2000,0.12297870553152172,0.0576324192645752,0.3490970714421699,Moderate,Moderate,platt
y_assay/BRCA1_included,raw,mean_M0b,1675,821,854,0.6152447730652313,0.8160779537149817,0.9508196721311475,16.593585058871295,15.705950078290504,18.25403333630448,2000,0.1934352555756227,0.06225983978946809,0.4442840667999445,Moderate,Moderate,platt
y_assay/BRCA1_included,calibrated_platt,mean_M0b,1675,821,854,0.7460851244516661,0.807551766138855,0.9508196721311475,16.420219244823386,15.495895474060683,18.28463476070529,2000,0.2024024528539628,0.06253371005247162,0.2370053213162836,Moderate,Moderate,platt
y_assay/BRCA1_included,raw,single:spliceai,1675,821,854,0.5810834848604634,0.830694275274056,0.9508196721311475,16.89078359723914,15.107201986754967,19.137936760993757,2000,0.17806291738418245,0.06491322717775592,0.4264528460957032,Moderate,Moderate,platt
