set,scheme,model,Brier,ECE,actionable_frac,actionable_acc
y_assay/BRCA1_included,quintile,single:phastcons,0.15016801843888336,0.06132940555942769,0.2187834306008555,0.8669300301006081
y_assay/BRCA1_included,decile,fusion_M1,0.0636083357670295,0.025860387773653376,0.7557131471435721,0.9692319941905342
y_assay/BRCA1_included,decile,mean_M0b,0.07978816989381102,0.022463330873148123,0.6963510437503871,0.9696969944662825
y_assay/BRCA1_included,decile,single:spliceai,0.07882664836626353,0.04602308196332197,0.695657116602036,0.946580602763684
y_assay/BRCA1_included,decile,single:pangolin,0.07346715015134313,0.033157775294704886,0.7350056490285155,0.962746411047249
y_assay/BRCA1_included,decile,single:alphagenome,0.0829796040033143,0.03098755454197754,0.7185679443407091,0.9580723011875886
y_assay/BRCA1_included,decile,single:gpn_msa,0.12080756140496106,0.03037417183193311,0.4663700196488125,0.945832203510003
y_assay/BRCA1_included,decile,single:nt,0.19761142165755488,0.04920041528937724,0.08381398315752893,0.7778532937170993
y_assay/BRCA1_included,decile,single:cadd,0.11363179392036937,0.04526841824509723,0.5088946000620751,0.9328031173746013
y_assay/BRCA1_included,decile,single:alphamissense,,,,
y_assay/BRCA1_included,decile,single:gnomad_af,0.2355277187474123,0.0637653213578775,0.018228976683002454,0.6674912693355576
y_assay/BRCA1_included,decile,single:phylop,0.1301771230214217,0.0339851014107395,0.4364903155919498,0.9303037164248905
y_assay/BRCA1_included,decile,single:phastcons,0.1499464468156941,0.061142718714355886,0.22138001779288735,0.8673064669289865
y_assay/BRCA1_included,vigintile,fusion_M1,0.06349829435891631,0.025660627281038247,0.7563605233250096,0.9692317370895706
y_assay/BRCA1_included,vigintile,mean_M0b,0.07936006858189157,0.022369046390615568,0.6967195382543104,0.9699296300145707
y_assay/BRCA1_included,vigintile,single:spliceai,0.07869016252228546,0.04588364118546728,0.695758959600541,0.9462409862686998
y_assay/BRCA1_included,vigintile,single:pangolin,0.07366629178558765,0.03334761824798226,0.7363018111402166,0.9623529839133612
y_assay/BRCA1_included,vigintile,single:alphagenome,0.08308739630052427,0.03136324550432233,0.7181052510276275,0.9582042366264661
y_assay/BRCA1_included,vigintile,single:gpn_msa,0.12005568486459395,0.030964463984608184,0.4673779095391536,0.9458850912617243
y_assay/BRCA1_included,vigintile,single:nt,0.19731030621961168,0.04975988290512983,0.08400955711870882,0.7810899142249434
y_assay/BRCA1_included,vigintile,single:cadd,0.11283895025811413,0.04484116096821835,0.5082235056764834,0.9341401630765754
y_assay/BRCA1_included,vigintile,single:alphamissense,,,,
y_assay/BRCA1_included,vigintile,single:gnomad_af,0.23546175730815022,0.0656315673950471,0.018599320680856506,0.6720758137578862
y_assay/BRCA1_included,vigintile,single:phylop,0.12934246984058265,0.033649975886881386,0.4372910252166753,0.9316806451893879
y_assay/BRCA1_included,vigintile,single:phastcons,0.14913252863152046,0.06046903429554494,0.2222171847257995,0.8677306913730354
y_assay/BRCA1_included,decile_truncated,fusion_M1,0.0636083357670295,0.025860387773653376,0.7557131471435721,0.9692319941905342
y_assay/BRCA1_included,decile_truncated,mean_M0b,0.07978816989381102,0.022463330873148123,0.6963510437503871,0.9696969944662825
y_assay/BRCA1_included,decile_truncated,single:spliceai,0.07882664836626353,0.04602308196332197,0.695657116602036,0.946580602763684
y_assay/BRCA1_included,decile_truncated,single:pangolin,0.07346715015134313,0.033157775294704886,0.7350056490285155,0.962746411047249
y_assay/BRCA1_included,decile_truncated,single:alphagenome,0.0829796040033143,0.03098755454197754,0.7185679443407091,0.9580723011875886
y_assay/BRCA1_included,decile_truncated,single:gpn_msa,0.12080756140496106,0.03037417183193311,0.4663700196488125,0.945832203510003
y_assay/BRCA1_included,decile_truncated,single:nt,0.19761142165755488,0.04920041528937724,0.08381398315752893,0.7778532937170993
y_assay/BRCA1_included,decile_truncated,single:cadd,0.11363179392036937,0.04526841824509723,0.5088946000620751,0.9328031173746013
y_assay/BRCA1_included,decile_truncated,single:alphamissense,,,,
y_assay/BRCA1_included,decile_truncated,single:gnomad_af,0.2355277187474123,0.0637653213578775,0.018228976683002454,0.6674912693355576
y_assay/BRCA1_included,decile_truncated,single:phylop,0.1301771230214217,0.0339851014107395,0.4364903155919498,0.9303037164248905
y_assay/BRCA1_included,decile_truncated,single:phastcons,0.1499464468156941,0.061142718714355886,0.22138001779288735,0.8673064669289865
y_assay/BRCA1_excluded,unweighted,fusion_M1,0.06792524687240213,0.028234420594358454,0.7472150814053128,0.963302752293578
y_assay/BRCA1_excluded,unweighted,mean_M0b,0.08103268912449914,0.020492018059791256,0.7206512425021423,0.9619500594530321
y_assay/BRCA1_excluded,unweighted,single:spliceai,0.08934562620878038,0.047557058696549706,0.6443873179091688,0.9295212765957447
y_assay/BRCA1_excluded,unweighted,single:pangolin,0.07976579202484456,0.022067794438840875,0.6889460154241646,0.9676616915422885
y_assay/BRCA1_excluded,unweighted,single:alphagenome,0.08673591855618897,0.037360435337699,0.7043701799485861,0.9610705596107056
y_assay/BRCA1_excluded,unweighted,single:gpn_msa,0.12052937017976831,0.0402851740584691,0.4892887746358183,0.9422066549912435
y_assay/BRCA1_excluded,unweighted,single:nt,0.17914121671343353,0.049841471469107224,0.2125107112253642,0.9354838709677419
