tool,stratum,clinvar_arm,n,positive_rate,k_genes,n_pos,n_neg,auroc,auroc_lo,auroc_hi,auroc_i2_pct,auprc_median,rho_median,status,reason,e3_best_tier_pp3,e3_threshold_at_best_tier,e3_logo_heldout_lr_median
nt,s3_10,classified,673,0.1411589895988113,5,93.0,457.0,0.6526303614630771,0.5478183151710408,0.7444796136656949,49.40658173396004,0.3873631044093505,0.21713665332710103,ok,,,,
nt,s3_10,recorded_unclassified,797,0.2521957340025094,6,196.0,585.0,0.6945056868814026,0.6063484601269793,0.7703961867496887,65.57780772624614,0.4811513487841349,0.3414939477101484,ok,,,,
nt,s3_10,unrecorded,1605,0.1707165109034268,5,269.0,1303.0,0.694163055981064,0.6468453973650405,0.7377115784593937,27.570917651739276,0.3441985133445886,0.2733441635969572,ok,,,,
nt,s11_50,all,4537,0.049592241569318934,5,222.0,3970.0,0.7040976220416173,0.6247839020229106,0.7727440779531939,55.17995039105173,0.1432002300088825,0.14386887909099108,ok,,,,
nt,s11_50,classified,736,0.043478260869565216,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
nt,s11_50,recorded_unclassified,311,0.06109324758842444,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
nt,s11_50,unrecorded,3490,0.0498567335243553,4,165.0,3267.0,0.7165486718328543,0.615418371193533,0.7997392143508751,59.430582723483575,0.09807656446753793,0.1320065202685502,ok,,,,
nt,all_1_50,all,8453,0.18916361055246658,7,1599.0,6854.0,0.7569647055362464,0.7040828979531149,0.8030398877686609,90.57549832047033,0.5428400571715062,0.36485198205846014,ok,,,,
nt,all_1_50,classified,1889,0.31551085230280573,7,596.0,1293.0,0.8185371502918569,0.7555626857874672,0.868119344904065,81.9156982137131,0.7477542469663652,0.47873228626019754,ok,,,,
nt,all_1_50,recorded_unclassified,1203,0.2543640897755611,6,300.0,886.0,0.7117395435809996,0.6511544272905775,0.765590475919813,53.86360494896696,0.6039400479842051,0.369236071924692,ok,,,,
nt,all_1_50,unrecorded,5361,0.13001305726543555,6,697.0,4664.0,0.7354009416265382,0.6868791753077742,0.7788248132582831,70.37072410107463,0.44076241117637766,0.30823888155874724,ok,,,,
fusion_enet,pm12,all,841,0.9560047562425684,2,298.0,28.0,0.7212457245570938,0.4956095044313637,0.8720113545458906,80.18838543541206,0.9610356078416724,0.21234553910957013,ok,,,,
fusion_enet,pm12,classified,480,0.9770833333333333,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
fusion_enet,pm12,recorded_unclassified,95,0.9052631578947369,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
fusion_enet,pm12,unrecorded,266,0.9360902255639098,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
fusion_enet,s3_10,all,3075,0.18536585365853658,7,570.0,2505.0,0.9143079238156958,0.8804090659245322,0.9392608339871672,62.60230977616399,0.7582379202465285,0.5489047952266279,ok,,,,
fusion_enet,s3_10,classified,673,0.1411589895988113,5,93.0,457.0,0.9083867482522391,0.8142127512212994,0.9573266101259401,47.700462345081434,0.8304048147798149,0.4614153883200897,ok,,,,
fusion_enet,s3_10,recorded_unclassified,797,0.2521957340025094,6,196.0,585.0,0.8979394356686596,0.8358980850176129,0.9382575859544089,57.7196024301163,0.7915935972973416,0.5929474185536749,ok,,,,
fusion_enet,s3_10,unrecorded,1605,0.1707165109034268,5,269.0,1303.0,0.8885276986041578,0.8341000974036111,0.9266688339397724,61.581051538087635,0.7049197578164942,0.5420249434914773,ok,,,,
fusion_enet,s11_50,all,4537,0.049592241569318934,5,222.0,3970.0,0.8297252919735046,0.7687607038025701,0.8771847638135202,36.55695317979266,0.4218802412484337,0.26797684627093354,ok,,,,
fusion_enet,s11_50,classified,736,0.043478260869565216,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
fusion_enet,s11_50,recorded_unclassified,311,0.06109324758842444,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
fusion_enet,s11_50,unrecorded,3490,0.0498567335243553,4,165.0,3267.0,0.8486121582711449,0.7719412198742077,0.9027542819465435,40.211306958094255,0.3865937057553236,0.26215797426998655,ok,,,,
fusion_enet,all_1_50,all,8453,0.18916361055246658,7,1599.0,6854.0,0.9585610215480885,0.929649292291715,0.975899052323745,89.96647941466858,0.908882148763465,0.6675322925850492,ok,,,,
fusion_enet,all_1_50,classified,1889,0.31551085230280573,7,596.0,1293.0,0.9695176020802337,0.9372643141501324,0.9854465035573868,72.67601595194861,0.9820646760018695,0.7603802634612024,ok,,,,
fusion_enet,all_1_50,recorded_unclassified,1203,0.2543640897755611,6,300.0,886.0,0.9179403126887132,0.866201847302196,0.9508081976222971,66.56716771957113,0.8799957265772254,0.661777296611842,ok,,,,
fusion_enet,all_1_50,unrecorded,5361,0.13001305726543555,6,697.0,4664.0,0.9329749883045253,0.8902363898509711,0.9598234970304902,79.67421532857183,0.8510154784732142,0.524223222302823,ok,,,,
