tool,stratum,threshold_basis,threshold,gene_set,clinvar_arm,n_genes,n_pos,n_neg,n_in_band,status,sens,spec,band_lr
nt,s3_10,fitted supporting,3.268993377685547,no_BRCA1,all,6,466,2119,222,ok,0.259656652360515,0.9523360075507314,5.447647983682488
nt,s3_10,fitted supporting,3.268993377685547,no_BRCA1,classified,6,54,476,19,ok,0.16666666666666666,0.9789915966386554,7.933333333333333
nt,s3_10,fitted supporting,3.268993377685547,no_BRCA1,recorded_unclassified,6,138,312,52,ok,0.2536231884057971,0.9455128205128205,4.654731457800512
nt,s3_10,fitted supporting,3.268993377685547,no_BRCA1,unrecorded,6,274,1331,151,ok,0.28102189781021897,0.9444027047332832,5.0545965673702895
spliceai_walker,s3_10,fitted moderate,0.5386447906494141,all_genes,all,7,570,2505,404,ok,0.5701754385964912,0.9684630738522955,18.079613590939374
spliceai_walker,s3_10,fitted moderate,0.5386447906494141,all_genes,classified,7,95,578,69,ok,0.6631578947368421,0.9896193771626297,63.88421052631579
spliceai_walker,s3_10,fitted moderate,0.5386447906494141,all_genes,recorded_unclassified,7,201,596,152,ok,0.6417910447761194,0.9614093959731543,16.63075924724205
spliceai_walker,s3_10,fitted moderate,0.5386447906494141,all_genes,unrecorded,6,274,1331,183,ok,0.4854014598540146,0.9624342599549212,12.92138686131387
spliceai_walker,s3_10,fitted moderate,0.5386447906494141,no_BRCA1,all,6,466,2119,311,ok,0.5150214592274678,0.9664936290703162,15.370851719760624
spliceai_walker,s3_10,fitted moderate,0.5386447906494141,no_BRCA1,classified,6,54,476,30,ok,0.46296296296296297,0.9894957983193278,44.07407407407407
spliceai_walker,s3_10,fitted moderate,0.5386447906494141,no_BRCA1,recorded_unclassified,6,138,312,98,ok,0.5942028985507246,0.9487179487179487,11.58695652173913
