tool,stratum,tier,side,heldout_gene,threshold_from_6_genes,heldout_lr
alphagenome,s3_10,strong,pp3,BARD1,2.199890339374542,62.522727272727266
alphagenome,s3_10,strong,pp3,PALB2,2.1998827695846557,65.17241379310346
alphagenome,s3_10,strong,pp3,RAD51C,2.199852538108826,28.438636363636363
alphagenome,s3_10,strong,pp3,VHL,2.1998827695846557,
alphagenome,s3_10,strong,pp3,BAP1,2.199876630306244,16.866438356164384
alphagenome,s3_10,very_strong,pp3,BRCA1,,
alphagenome,s3_10,very_strong,pp3,BRCA2,,
alphagenome,s3_10,very_strong,pp3,BARD1,,
alphagenome,s3_10,very_strong,pp3,PALB2,,
alphagenome,s3_10,very_strong,pp3,RAD51C,,
alphagenome,s3_10,very_strong,pp3,VHL,,
alphagenome,s3_10,very_strong,pp3,BAP1,,
alphagenome,s11_50,supporting,pp3,BRCA1,2.197174644470215,
alphagenome,s11_50,supporting,pp3,BARD1,2.196884644031525,27.918699186991873
alphagenome,s11_50,supporting,pp3,PALB2,2.1981048703193666,
alphagenome,s11_50,supporting,pp3,RAD51C,2.198853147029877,27.0
alphagenome,s11_50,supporting,pp3,VHL,2.198853147029877,
alphagenome,s11_50,supporting,pp3,BAP1,2.198007953166962,8.429614181439
alphagenome,s11_50,moderate,pp3,BRCA1,2.1989681839942934,
alphagenome,s11_50,moderate,pp3,BARD1,2.198365581035614,51.301587301587304
alphagenome,s11_50,moderate,pp3,PALB2,2.198897933959961,
alphagenome,s11_50,moderate,pp3,RAD51C,2.198879027366638,27.0
alphagenome,s11_50,moderate,pp3,VHL,2.198897933959961,
alphagenome,s11_50,moderate,pp3,BAP1,2.1981048703193666,8.037539103232534
alphagenome,s11_50,strong,pp3,BRCA1,,
alphagenome,s11_50,strong,pp3,BARD1,,
alphagenome,s11_50,strong,pp3,PALB2,,
alphagenome,s11_50,strong,pp3,RAD51C,,
alphagenome,s11_50,strong,pp3,VHL,2.1996062994003296,
alphagenome,s11_50,strong,pp3,BAP1,,
alphagenome,s11_50,very_strong,pp3,BRCA1,,
alphagenome,s11_50,very_strong,pp3,BARD1,,
alphagenome,s11_50,very_strong,pp3,PALB2,,
alphagenome,s11_50,very_strong,pp3,RAD51C,,
alphagenome,s11_50,very_strong,pp3,VHL,,
alphagenome,s11_50,very_strong,pp3,BAP1,,
alphagenome,s3_50,supporting,pp3,BRCA1,2.1988683700561524,34.77466251298027
alphagenome,s3_50,supporting,pp3,BRCA2,2.1988022208213804,20.88888888888889
alphagenome,s3_50,supporting,pp3,BARD1,2.19851016998291,28.322884012539184
alphagenome,s3_50,supporting,pp3,PALB2,2.198985993862152,24.419389978213506
alphagenome,s3_50,supporting,pp3,RAD51C,2.1989727139472963,20.69719042663892
alphagenome,s3_50,supporting,pp3,VHL,2.1987544536590575,14.85217391304348
alphagenome,s3_50,supporting,pp3,BAP1,2.1989070773124695,13.889594000144227
alphagenome,s3_50,moderate,pp3,BRCA1,2.1993707418441772,50.46105919003115
alphagenome,s3_50,moderate,pp3,BRCA2,2.1993492960929872,22.564102564102562
alphagenome,s3_50,moderate,pp3,BARD1,2.1993082761764526,54.89244663382594
alphagenome,s3_50,moderate,pp3,PALB2,2.1993388295173646,32.645550527903474
alphagenome,s3_50,moderate,pp3,RAD51C,2.1993730783462526,27.811059907834103
alphagenome,s3_50,moderate,pp3,VHL,2.199358892440796,68.95652173913042
alphagenome,s3_50,moderate,pp3,BAP1,2.19926518201828,16.557496214033314
alphagenome,s3_50,strong,pp3,BRCA1,2.1998827695846557,83.0056074766355
alphagenome,s3_50,strong,pp3,BRCA2,2.1998730063438416,38.33333333333333
alphagenome,s3_50,strong,pp3,BARD1,2.1998806834220885,240.93333333333334
alphagenome,s3_50,strong,pp3,PALB2,2.199876403808594,143.99019607843135
alphagenome,s3_50,strong,pp3,RAD51C,2.199858105182648,57.58064516129032
alphagenome,s3_50,strong,pp3,VHL,2.199870467185974,
alphagenome,s3_50,strong,pp3,BAP1,2.1998100161552427,19.317078916372203
alphagenome,s3_50,very_strong,pp3,BRCA1,,
alphagenome,s3_50,very_strong,pp3,BRCA2,,
alphagenome,s3_50,very_strong,pp3,BARD1,,
alphagenome,s3_50,very_strong,pp3,PALB2,,
alphagenome,s3_50,very_strong,pp3,RAD51C,,
alphagenome,s3_50,very_strong,pp3,VHL,,
alphagenome,s3_50,very_strong,pp3,BAP1,,
alphagenome,all_1_50,supporting,pp3,BRCA1,2.1993920683860777,39.92365456821027
alphagenome,all_1_50,supporting,pp3,BRCA2,2.19936226606369,17.859267734553775
alphagenome,all_1_50,supporting,pp3,BARD1,2.199320614337921,62.702445163610214
alphagenome,all_1_50,supporting,pp3,PALB2,2.199358892440796,48.23651452282158
alphagenome,all_1_50,supporting,pp3,RAD51C,2.1993990540504456,38.481818181818184
alphagenome,all_1_50,supporting,pp3,VHL,2.19936226606369,96.04255319148936
alphagenome,all_1_50,supporting,pp3,BAP1,2.199382185935974,23.398260869565217
alphagenome,all_1_50,moderate,pp3,BRCA1,2.1995959877967834,43.787234042553195
alphagenome,all_1_50,moderate,pp3,BRCA2,2.199539077281952,20.289210526315788
alphagenome,all_1_50,moderate,pp3,BARD1,2.199460482597351,80.1997226074896
alphagenome,all_1_50,moderate,pp3,PALB2,2.199536609649658,68.24573536191792
alphagenome,all_1_50,moderate,pp3,RAD51C,2.199580359458923,45.78409090909091
alphagenome,all_1_50,moderate,pp3,VHL,2.199574148654938,94.21276595744679
alphagenome,all_1_50,moderate,pp3,BAP1,2.1995659470558167,27.971135265700482
alphagenome,all_1_50,strong,pp3,BRCA1,2.1999844670295716,159.51063829787236
alphagenome,all_1_50,strong,pp3,BRCA2,2.1999857306480406,49.78947368421052
alphagenome,all_1_50,strong,pp3,BARD1,2.1999856352806093,509.04854368932035
alphagenome,all_1_50,strong,pp3,PALB2,2.19998619556427,51.518672199170126
alphagenome,all_1_50,strong,pp3,RAD51C,2.1999856352806093,232.04545454545453
alphagenome,all_1_50,strong,pp3,VHL,2.19998185634613,65.42553191489361
alphagenome,all_1_50,strong,pp3,BAP1,2.1998746275901793,34.93026086956522
alphagenome,all_1_50,very_strong,pp3,BRCA1,,
alphagenome,all_1_50,very_strong,pp3,BRCA2,,
alphagenome,all_1_50,very_strong,pp3,BARD1,,
alphagenome,all_1_50,very_strong,pp3,PALB2,,
alphagenome,all_1_50,very_strong,pp3,RAD51C,,
alphagenome,all_1_50,very_strong,pp3,VHL,,
alphagenome,all_1_50,very_strong,pp3,BAP1,,
cadd,pm12,supporting,pp3,BRCA1,,
cadd,pm12,supporting,pp3,BRCA2,,
cadd,pm12,supporting,pp3,BARD1,,
cadd,pm12,supporting,pp3,PALB2,,
cadd,pm12,supporting,pp3,RAD51C,,
cadd,pm12,supporting,pp3,VHL,,
cadd,pm12,supporting,pp3,BAP1,,
cadd,pm12,moderate,pp3,BRCA1,,
cadd,pm12,moderate,pp3,BRCA2,,
