set,scheme,model,Brier,ECE,actionable_frac,actionable_acc
y_clinvar/BRCA1_excluded,vigintile,single:gpn_msa,0.0672918000631401,0.03906809211643442,0.7527496503680592,0.972481255780339
y_clinvar/BRCA1_excluded,vigintile,single:nt,0.14996337369216897,0.08184045034627224,0.41461320395349394,0.9075279732893482
y_clinvar/BRCA1_excluded,vigintile,single:cadd,0.029752120817632385,0.029596843869979867,0.9139169636409725,0.9903745651173231
y_clinvar/BRCA1_excluded,vigintile,single:alphamissense,,,,
y_clinvar/BRCA1_excluded,vigintile,single:gnomad_af,0.24368324603355024,0.17709155398634938,0.022631139117903435,0.4033654063001843
y_clinvar/BRCA1_excluded,vigintile,single:phylop,0.05092725227066073,0.042600271560272324,0.7976584982855686,0.9817344220852308
y_clinvar/BRCA1_excluded,vigintile,single:phastcons,0.07838350615984309,0.037346501395958756,0.7814222860437352,0.9488333440383494
y_clinvar/BRCA1_excluded,decile_truncated,fusion_M1,0.009724450537782528,0.009556210962142105,0.9928027285021995,0.9919751831482195
y_clinvar/BRCA1_excluded,decile_truncated,mean_M0b,0.014583763637522678,0.01362688953431426,0.9506941968238771,0.9908548354594069
y_clinvar/BRCA1_excluded,decile_truncated,single:spliceai,0.04842589171884684,0.05410864364404044,0.8855630366604322,0.9701913878417586
